indice_tiempo,region_de_destino,categoria_del_hotel,tasa_de_ocupacion_plazas,observaciones
2016-08-01,Cuyo,Para Hoteles,0.16,""
2016-08-01,Cuyo,Total,0.24,""
2016-08-01,Córdoba,1 y 2 estrellas,0.22,""
2016-08-01,Córdoba,3 estrellas/boutiques/aparts,0.24,""
2016-08-01,Córdoba,4 y 5 estrellas,0.38,""
2016-08-01,Córdoba,Para Hoteles,0.12,""
2016-08-01,Córdoba,Total,0.2,""
2016-08-01,Litoral,1 y 2 estrellas,0.27,""
2016-08-01,Litoral,3 estrellas/boutiques/aparts,0.31,""
2016-08-01,Litoral,4 y 5 estrellas,0.36,""
2016-08-01,Litoral,Para Hoteles,0.23,""
2016-08-01,Litoral,Total,0.29,""
2016-08-01,Norte,1 y 2 estrellas,0.3,""
2016-08-01,Norte,3 estrellas/boutiques/aparts,0.39,""
2016-08-01,Norte,4 y 5 estrellas,0.47,""
2016-08-01,Norte,Para Hoteles,0.2,""
2016-08-01,Norte,Total,0.32,""
2016-08-01,Patagonia,1 y 2 estrellas,0.55,""
2016-08-01,Patagonia,3 estrellas/boutiques/aparts,0.39,""
2016-08-01,Patagonia,4 y 5 estrellas,0.45,""
2016-08-01,Patagonia,Para Hoteles,0.26,""
2016-08-01,Patagonia,Total,0.4,""
2016-09-01,Buenos Aires,1 y 2 estrellas,0.14,""
2016-09-01,Buenos Aires,3 estrellas/boutiques/aparts,0.17,""
2016-09-01,Buenos Aires,4 y 5 estrellas,0.24,""
2016-09-01,Buenos Aires,Para Hoteles,0.15,""
2016-09-01,Buenos Aires,Total,0.17,""
2016-09-01,CABA,1 y 2 estrellas,0.39,""
2016-09-01,CABA,3 estrellas/boutiques/aparts,0.45,""
2016-09-01,CABA,4 y 5 estrellas,0.49,""
2016-09-01,CABA,Para Hoteles,0.33,""
2016-09-01,CABA,Total,0.43,""
2016-09-01,Cuyo,1 y 2 estrellas,0.14,""
2016-09-01,Cuyo,3 estrellas/boutiques/aparts,0.29,""
2016-09-01,Cuyo,4 y 5 estrellas,0.39,""
2016-09-01,Cuyo,Para Hoteles,0.16,""
2016-09-01,Cuyo,Total,0.24,""
2016-09-01,Córdoba,1 y 2 estrellas,0.24,""
2016-09-01,Córdoba,3 estrellas/boutiques/aparts,0.26,""
2016-09-01,Córdoba,4 y 5 estrellas,0.42,""
2016-09-01,Córdoba,Para Hoteles,0.14,""
2016-09-01,Córdoba,Total,0.22,""
2016-09-01,Litoral,1 y 2 estrellas,0.27,""
2016-09-01,Litoral,3 estrellas/boutiques/aparts,0.33,""
2016-09-01,Litoral,4 y 5 estrellas,0.39,""
2016-09-01,Litoral,Para Hoteles,0.24,""
2016-09-01,Litoral,Total,0.31,""
2016-09-01,Norte,1 y 2 estrellas,0.23,""
2016-09-01,Norte,3 estrellas/boutiques/aparts,0.38,""
2016-09-01,Norte,4 y 5 estrellas,0.49,""
2016-09-01,Norte,Para Hoteles,0.18,""
2016-09-01,Norte,Total,0.3,""
2016-09-01,Patagonia,1 y 2 estrellas,0.56,""
2016-09-01,Patagonia,3 estrellas/boutiques/aparts,0.42,""
2016-09-01,Patagonia,4 y 5 estrellas,0.51,""
2016-09-01,Patagonia,Para Hoteles,0.26,""
2016-09-01,Patagonia,Total,0.42,""
2016-10-01,Buenos Aires,1 y 2 estrellas,0.23,""
2016-10-01,Buenos Aires,3 estrellas/boutiques/aparts,0.28,""
2016-10-01,Buenos Aires,4 y 5 estrellas,0.3,""
2016-10-01,Buenos Aires,Para Hoteles,0.23,""
2016-10-01,Buenos Aires,Total,0.26,""
2016-10-01,CABA,1 y 2 estrellas,0.38,""
2016-10-01,CABA,3 estrellas/boutiques/aparts,0.49,""
2016-10-01,CABA,4 y 5 estrellas,0.53,""
2016-10-01,CABA,Para Hoteles,0.33,""
2016-10-01,CABA,Total,0.46,""
2016-10-01,Cuyo,1 y 2 estrellas,0.18,""
2016-10-01,Cuyo,3 estrellas/boutiques/aparts,0.18,""
2016-10-01,Cuyo,4 y 5 estrellas,0.39,""
2016-10-01,Cuyo,Para Hoteles,0.18,""
2016-10-01,Cuyo,Total,0.21,""
2016-10-01,Córdoba,1 y 2 estrellas,0.28,""
2016-10-01,Córdoba,3 estrellas/boutiques/aparts,0.32,""
2016-10-01,Córdoba,4 y 5 estrellas,0.42,""
2016-10-01,Córdoba,Para Hoteles,0.24,""
2016-10-01,Córdoba,Total,0.28,""
2016-10-01,Litoral,1 y 2 estrellas,0.27,""
2016-10-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2016-10-01,Litoral,4 y 5 estrellas,0.41,""
2016-10-01,Litoral,Para Hoteles,0.26,""
2016-10-01,Litoral,Total,0.33,""
2016-10-01,Norte,1 y 2 estrellas,0.26,""
2016-10-01,Norte,3 estrellas/boutiques/aparts,0.33,""
2016-10-01,Norte,4 y 5 estrellas,0.48,""
2016-10-01,Norte,Para Hoteles,0.17,""
2016-10-01,Norte,Total,0.28,""
2016-10-01,Patagonia,1 y 2 estrellas,0.44,""
2016-10-01,Patagonia,3 estrellas/boutiques/aparts,0.41,""
2016-10-01,Patagonia,4 y 5 estrellas,0.45,""
2016-10-01,Patagonia,Para Hoteles,0.24,""
2016-10-01,Patagonia,Total,0.38,""
2016-11-01,Buenos Aires,1 y 2 estrellas,0.21,""
2016-11-01,Buenos Aires,3 estrellas/boutiques/aparts,0.27,""
2016-11-01,Buenos Aires,4 y 5 estrellas,0.34,""
2016-11-01,Buenos Aires,Para Hoteles,0.22,""
2016-11-01,Buenos Aires,Total,0.25,""
2016-11-01,CABA,1 y 2 estrellas,0.38,""
2016-11-01,CABA,3 estrellas/boutiques/aparts,0.52,""
2016-11-01,CABA,4 y 5 estrellas,0.57,""
2016-11-01,CABA,Para Hoteles,0.35,""
2016-11-01,CABA,Total,0.49,""
2016-11-01,Cuyo,1 y 2 estrellas,0.17,""
2016-11-01,Cuyo,3 estrellas/boutiques/aparts,0.3,""
2016-11-01,Cuyo,4 y 5 estrellas,0.34,""
2016-11-01,Cuyo,Para Hoteles,0.17,""
2016-11-01,Cuyo,Total,0.24,""
2016-11-01,Córdoba,1 y 2 estrellas,0.32,""
2016-11-01,Córdoba,3 estrellas/boutiques/aparts,0.37,""
2016-11-01,Córdoba,4 y 5 estrellas,0.45,""
2016-11-01,Córdoba,Para Hoteles,0.2,""
2016-11-01,Córdoba,Total,0.29,""
2016-11-01,Litoral,1 y 2 estrellas,0.3,""
2016-11-01,Litoral,3 estrellas/boutiques/aparts,0.35,""
2016-11-01,Litoral,4 y 5 estrellas,0.4,""
2016-11-01,Litoral,Para Hoteles,0.27,""
2016-11-01,Litoral,Total,0.34,""
2016-11-01,Norte,1 y 2 estrellas,0.22,""
2016-11-01,Norte,3 estrellas/boutiques/aparts,0.28,""
2016-11-01,Norte,4 y 5 estrellas,0.41,""
2016-11-01,Norte,Para Hoteles,0.15,""
2016-11-01,Norte,Total,0.25,""
2016-11-01,Patagonia,1 y 2 estrellas,0.33,""
2016-11-01,Patagonia,3 estrellas/boutiques/aparts,0.38,""
2016-11-01,Patagonia,4 y 5 estrellas,0.49,""
2016-11-01,Patagonia,Para Hoteles,0.3,""
2016-11-01,Patagonia,Total,0.37,""
2016-12-01,Buenos Aires,1 y 2 estrellas,0.23,""
2016-12-01,Buenos Aires,3 estrellas/boutiques/aparts,0.29,""
2016-12-01,Buenos Aires,4 y 5 estrellas,0.33,""
2016-12-01,Buenos Aires,Para Hoteles,0.24,""
2016-12-01,Buenos Aires,Total,0.26,""
2016-12-01,CABA,1 y 2 estrellas,0.32,""
2016-12-01,CABA,3 estrellas/boutiques/aparts,0.35,""
2016-12-01,CABA,4 y 5 estrellas,0.45,""
2016-12-01,CABA,Para Hoteles,0.31,""
2016-12-01,CABA,Total,0.38,""
2016-12-01,Cuyo,1 y 2 estrellas,0.12,""
2016-12-01,Cuyo,3 estrellas/boutiques/aparts,0.26,""
2016-12-01,Cuyo,4 y 5 estrellas,0.27,""
2016-12-01,Cuyo,Para Hoteles,0.17,""
2016-12-01,Cuyo,Total,0.21,""
2016-12-01,Córdoba,1 y 2 estrellas,0.36,""
2016-12-01,Córdoba,3 estrellas/boutiques/aparts,0.35,""
2016-12-01,Córdoba,4 y 5 estrellas,0.41,""
2016-12-01,Córdoba,Para Hoteles,0.27,""
2016-12-01,Córdoba,Total,0.32,""
2016-12-01,Litoral,1 y 2 estrellas,0.25,""
2016-12-01,Litoral,3 estrellas/boutiques/aparts,0.3,""
2016-12-01,Litoral,4 y 5 estrellas,0.35,""
2016-12-01,Litoral,Para Hoteles,0.27,""
2016-12-01,Litoral,Total,0.29,""
2016-12-01,Norte,1 y 2 estrellas,0.17,""
2016-12-01,Norte,3 estrellas/boutiques/aparts,0.22,""
2016-12-01,Norte,4 y 5 estrellas,0.28,""
2016-12-01,Norte,Para Hoteles,0.13,""
2016-12-01,Norte,Total,0.19,""
2016-12-01,Patagonia,1 y 2 estrellas,0.46,""
2016-12-01,Patagonia,3 estrellas/boutiques/aparts,0.39,""
2016-12-01,Patagonia,4 y 5 estrellas,0.44,""
2016-12-01,Patagonia,Para Hoteles,0.3,""
2016-12-01,Patagonia,Total,0.39,""
2017-01-01,Buenos Aires,1 y 2 estrellas,0.56,""
2017-01-01,Buenos Aires,3 estrellas/boutiques/aparts,0.59,""
2017-01-01,Buenos Aires,4 y 5 estrellas,0.55,""
2017-01-01,Buenos Aires,Para Hoteles,0.56,""
2017-01-01,Buenos Aires,Total,0.56,""
2017-01-01,CABA,1 y 2 estrellas,0.32,""
2017-01-01,CABA,3 estrellas/boutiques/aparts,0.37,""
2017-01-01,CABA,4 y 5 estrellas,0.42,""
2017-01-01,CABA,Para Hoteles,0.3,""
2017-01-01,CABA,Total,0.37,""
2017-01-01,Cuyo,1 y 2 estrellas,0.23,""
2017-01-01,Cuyo,3 estrellas/boutiques/aparts,0.37,""
2017-01-01,Cuyo,4 y 5 estrellas,0.37,""
2017-01-01,Cuyo,Para Hoteles,0.36,""
2017-01-01,Cuyo,Total,0.33,""
2017-01-01,Córdoba,1 y 2 estrellas,0.54,""
2017-01-01,Córdoba,3 estrellas/boutiques/aparts,0.54,""
2017-01-01,Córdoba,4 y 5 estrellas,0.52,""
2017-01-01,Córdoba,Para Hoteles,0.61,""
2017-01-01,Córdoba,Total,0.57,""
2017-01-01,Litoral,1 y 2 estrellas,0.31,""
2017-01-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2017-01-01,Litoral,4 y 5 estrellas,0.4,""
2017-01-01,Litoral,Para Hoteles,0.45,""
2017-01-01,Litoral,Total,0.38,""
2017-01-01,Norte,1 y 2 estrellas,0.25,""
2017-01-01,Norte,3 estrellas/boutiques/aparts,0.25,""
2017-01-01,Norte,4 y 5 estrellas,0.36,""
2017-01-01,Norte,Para Hoteles,0.25,""
2017-01-01,Norte,Total,0.27,""
2017-01-01,Patagonia,1 y 2 estrellas,0.47,""
2017-01-01,Patagonia,3 estrellas/boutiques/aparts,0.56,""
2017-01-01,Patagonia,4 y 5 estrellas,0.6,""
2017-01-01,Patagonia,Para Hoteles,0.48,""
2017-01-01,Patagonia,Total,0.52,""
2017-02-01,Buenos Aires,1 y 2 estrellas,0.53,""
2017-02-01,Buenos Aires,3 estrellas/boutiques/aparts,0.57,""
2017-02-01,Buenos Aires,4 y 5 estrellas,0.55,""
2017-02-01,Buenos Aires,Para Hoteles,0.53,""
2017-02-01,Buenos Aires,Total,0.54,""
2017-02-01,CABA,1 y 2 estrellas,0.35,""
2017-02-01,CABA,3 estrellas/boutiques/aparts,0.41,""
2017-02-01,CABA,4 y 5 estrellas,0.46,""
2017-02-01,CABA,Para Hoteles,0.32,""
2017-02-01,CABA,Total,0.41,""
2017-02-01,Cuyo,1 y 2 estrellas,0.2,""
2017-02-01,Cuyo,3 estrellas/boutiques/aparts,0.36,""
2017-02-01,Cuyo,4 y 5 estrellas,0.39,""
2017-02-01,Cuyo,Para Hoteles,0.28,""
2017-02-01,Cuyo,Total,0.31,""
2017-02-01,Córdoba,1 y 2 estrellas,0.51,""
2017-02-01,Córdoba,3 estrellas/boutiques/aparts,0.55,""
2017-02-01,Córdoba,4 y 5 estrellas,0.54,""
2017-02-01,Córdoba,Para Hoteles,0.55,""
2017-02-01,Córdoba,Total,0.54,""
2017-02-01,Litoral,1 y 2 estrellas,0.33,""
2017-02-01,Litoral,3 estrellas/boutiques/aparts,0.41,""
2017-02-01,Litoral,4 y 5 estrellas,0.42,""
2017-02-01,Litoral,Para Hoteles,0.47,""
2017-02-01,Litoral,Total,0.42,""
2017-02-01,Norte,1 y 2 estrellas,0.23,""
2017-02-01,Norte,3 estrellas/boutiques/aparts,0.23,""
2017-02-01,Norte,4 y 5 estrellas,0.36,""
2017-02-01,Norte,Para Hoteles,0.29,""
2017-02-01,Norte,Total,0.27,""
2017-02-01,Patagonia,1 y 2 estrellas,0.47,""
2017-02-01,Patagonia,3 estrellas/boutiques/aparts,0.46,""
2017-02-01,Patagonia,4 y 5 estrellas,0.55,""
2017-02-01,Patagonia,Para Hoteles,0.45,""
2017-02-01,Patagonia,Total,0.47,""
2017-03-01,Buenos Aires,1 y 2 estrellas,0.23,""
2017-03-01,Buenos Aires,3 estrellas/boutiques/aparts,0.32,""
2017-03-01,Buenos Aires,4 y 5 estrellas,0.34,""
2017-03-01,Buenos Aires,Para Hoteles,0.26,""
2017-03-01,Buenos Aires,Total,0.28,""
2017-03-01,CABA,1 y 2 estrellas,0.38,""
2017-03-01,CABA,3 estrellas/boutiques/aparts,0.45,""
2017-03-01,CABA,4 y 5 estrellas,0.49,""
2017-03-01,CABA,Para Hoteles,0.3,""
2017-03-01,CABA,Total,0.43,""
2017-03-01,Cuyo,1 y 2 estrellas,0.15,""
2017-03-01,Cuyo,3 estrellas/boutiques/aparts,0.29,""
2017-03-01,Cuyo,4 y 5 estrellas,0.31,""
2017-03-01,Cuyo,Para Hoteles,0.15,""
2017-03-01,Cuyo,Total,0.23,""
2017-03-01,Córdoba,1 y 2 estrellas,0.31,""
2017-03-01,Córdoba,3 estrellas/boutiques/aparts,0.36,""
2017-03-01,Córdoba,4 y 5 estrellas,0.37,""
2017-03-01,Córdoba,Para Hoteles,0.26,""
2017-03-01,Córdoba,Total,0.31,""
2017-03-01,Litoral,1 y 2 estrellas,0.23,""
2017-03-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2017-03-01,Litoral,4 y 5 estrellas,0.36,""
2017-03-01,Litoral,Para Hoteles,0.27,""
2017-03-01,Litoral,Total,0.31,""
2017-03-01,Norte,1 y 2 estrellas,0.17,""
2017-03-01,Norte,3 estrellas/boutiques/aparts,0.19,""
2017-03-01,Norte,4 y 5 estrellas,0.3,""
2017-03-01,Norte,Para Hoteles,0.16,""
2017-03-01,Norte,Total,0.19,""
2017-03-01,Patagonia,1 y 2 estrellas,0.34,""
2017-03-01,Patagonia,3 estrellas/boutiques/aparts,0.35,""
2017-03-01,Patagonia,4 y 5 estrellas,0.43,""
2017-03-01,Patagonia,Para Hoteles,0.25,""
2017-03-01,Patagonia,Total,0.33,""
2017-04-01,Buenos Aires,1 y 2 estrellas,0.17,""
2017-04-01,Buenos Aires,3 estrellas/boutiques/aparts,0.26,""
2017-04-01,Buenos Aires,4 y 5 estrellas,0.3,""
2017-04-01,Buenos Aires,Para Hoteles,0.2,""
2017-04-01,Buenos Aires,Total,0.23,""
2017-04-01,CABA,1 y 2 estrellas,0.38,""
2017-04-01,CABA,3 estrellas/boutiques/aparts,0.49,""
2017-04-01,CABA,4 y 5 estrellas,0.5,""
2017-04-01,CABA,Para Hoteles,0.34,""
2017-04-01,CABA,Total,0.45,""
2017-04-01,Cuyo,1 y 2 estrellas,0.14,""
2017-04-01,Cuyo,3 estrellas/boutiques/aparts,0.28,""
2017-04-01,Cuyo,4 y 5 estrellas,0.36,""
2017-04-01,Cuyo,Para Hoteles,0.15,""
2017-04-01,Cuyo,Total,0.23,""
2017-04-01,Córdoba,1 y 2 estrellas,0.27,""
2017-04-01,Córdoba,3 estrellas/boutiques/aparts,0.29,""
2017-04-01,Córdoba,4 y 5 estrellas,0.41,""
2017-04-01,Córdoba,Para Hoteles,0.19,""
2017-04-01,Córdoba,Total,0.25,""
2017-04-01,Litoral,1 y 2 estrellas,0.24,""
2017-04-01,Litoral,3 estrellas/boutiques/aparts,0.37,""
2017-04-01,Litoral,4 y 5 estrellas,0.37,""
2017-04-01,Litoral,Para Hoteles,0.28,""
2017-04-01,Litoral,Total,0.33,""
2017-04-01,Norte,1 y 2 estrellas,0.21,""
2017-04-01,Norte,3 estrellas/boutiques/aparts,0.27,""
2017-04-01,Norte,4 y 5 estrellas,0.4,""
2017-04-01,Norte,Para Hoteles,0.19,""
2017-04-01,Norte,Total,0.25,""
2017-04-01,Patagonia,1 y 2 estrellas,0.3,""
2017-04-01,Patagonia,3 estrellas/boutiques/aparts,0.3,""
2017-04-01,Patagonia,4 y 5 estrellas,0.37,""
2017-04-01,Patagonia,Para Hoteles,0.21,""
2017-04-01,Patagonia,Total,0.29,""
2017-05-01,Buenos Aires,1 y 2 estrellas,0.12,""
2017-05-01,Buenos Aires,3 estrellas/boutiques/aparts,0.15,""
2017-05-01,Buenos Aires,4 y 5 estrellas,0.19,""
2017-05-01,Buenos Aires,Para Hoteles,0.11,""
2017-05-01,Buenos Aires,Total,0.14,""
2017-05-01,CABA,1 y 2 estrellas,0.38,""
2017-05-01,CABA,3 estrellas/boutiques/aparts,0.45,""
2017-05-01,CABA,4 y 5 estrellas,0.47,""
2017-05-01,CABA,Para Hoteles,0.33,""
2017-05-01,CABA,Total,0.43,""
2017-05-01,Cuyo,1 y 2 estrellas,0.12,""
2017-05-01,Cuyo,3 estrellas/boutiques/aparts,0.21,""
2017-05-01,Cuyo,4 y 5 estrellas,0.28,""
2017-05-01,Cuyo,Para Hoteles,0.09,""
2017-05-01,Cuyo,Total,0.18,""
2017-05-01,Córdoba,1 y 2 estrellas,0.24,""
2017-05-01,Córdoba,3 estrellas/boutiques/aparts,0.21,""
2017-05-01,Córdoba,4 y 5 estrellas,0.37,""
2017-05-01,Córdoba,Para Hoteles,0.08,""
2017-05-01,Córdoba,Total,0.18,""
2017-05-01,Litoral,1 y 2 estrellas,0.25,""
2017-05-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2017-05-01,Litoral,4 y 5 estrellas,0.33,""
2017-05-01,Litoral,Para Hoteles,0.2,""
2017-05-01,Litoral,Total,0.29,""
2017-05-01,Norte,1 y 2 estrellas,0.17,""
2017-05-01,Norte,3 estrellas/boutiques/aparts,0.24,""
2017-05-01,Norte,4 y 5 estrellas,0.34,""
2017-05-01,Norte,Para Hoteles,0.15,""
2017-05-01,Norte,Total,0.21,""
2017-05-01,Patagonia,1 y 2 estrellas,0.29,""
2017-05-01,Patagonia,3 estrellas/boutiques/aparts,0.25,""
2017-05-01,Patagonia,4 y 5 estrellas,0.27,""
2017-05-01,Patagonia,Para Hoteles,0.13,""
2017-05-01,Patagonia,Total,0.23,""
2017-06-01,Buenos Aires,1 y 2 estrellas,0.12,""
2017-06-01,Buenos Aires,3 estrellas/boutiques/aparts,0.16,""
2017-06-01,Buenos Aires,4 y 5 estrellas,0.19,""
2017-06-01,Buenos Aires,Para Hoteles,0.13,""
2017-06-01,Buenos Aires,Total,0.15,""
2017-06-01,CABA,1 y 2 estrellas,0.38,""
2017-06-01,CABA,3 estrellas/boutiques/aparts,0.47,""
2017-06-01,CABA,4 y 5 estrellas,0.45,""
2017-06-01,CABA,Para Hoteles,0.35,""
2017-06-01,CABA,Total,0.43,""
2017-06-01,Cuyo,1 y 2 estrellas,0.15,""
2017-06-01,Cuyo,3 estrellas/boutiques/aparts,0.21,""
2017-06-01,Cuyo,4 y 5 estrellas,0.31,""
2017-06-01,Cuyo,Para Hoteles,0.11,""
2017-06-01,Cuyo,Total,0.2,""
2017-06-01,Córdoba,1 y 2 estrellas,0.26,""
2017-06-01,Córdoba,3 estrellas/boutiques/aparts,0.22,""
2017-06-01,Córdoba,4 y 5 estrellas,0.35,""
2017-06-01,Córdoba,Para Hoteles,0.09,""
2017-06-01,Córdoba,Total,0.19,""
2017-06-01,Litoral,1 y 2 estrellas,0.24,""
2017-06-01,Litoral,3 estrellas/boutiques/aparts,0.35,""
2017-06-01,Litoral,4 y 5 estrellas,0.34,""
2017-06-01,Litoral,Para Hoteles,0.2,""
2017-06-01,Litoral,Total,0.29,""
2017-06-01,Norte,1 y 2 estrellas,0.21,""
2017-06-01,Norte,3 estrellas/boutiques/aparts,0.24,""
2017-06-01,Norte,4 y 5 estrellas,0.38,""
2017-06-01,Norte,Para Hoteles,0.14,""
2017-06-01,Norte,Total,0.22,""
2017-06-01,Patagonia,1 y 2 estrellas,0.32,""
2017-06-01,Patagonia,3 estrellas/boutiques/aparts,0.29,""
2017-06-01,Patagonia,4 y 5 estrellas,0.31,""
2017-06-01,Patagonia,Para Hoteles,0.12,""
2017-06-01,Patagonia,Total,0.25,""
2017-07-01,Buenos Aires,1 y 2 estrellas,0.15,""
2017-07-01,Buenos Aires,3 estrellas/boutiques/aparts,0.29,""
2017-07-01,Buenos Aires,4 y 5 estrellas,0.29,""
2017-07-01,Buenos Aires,Para Hoteles,0.19,""
2017-07-01,Buenos Aires,Total,0.24,""
2017-07-01,CABA,1 y 2 estrellas,0.43,""
2017-07-01,CABA,3 estrellas/boutiques/aparts,0.58,""
2017-07-01,CABA,4 y 5 estrellas,0.56,""
2017-07-01,CABA,Para Hoteles,0.4,""
2017-07-01,CABA,Total,0.52,""
2017-07-01,Cuyo,1 y 2 estrellas,0.27,""
2017-07-01,Cuyo,3 estrellas/boutiques/aparts,0.35,""
2017-07-01,Cuyo,4 y 5 estrellas,0.46,""
2017-07-01,Cuyo,Para Hoteles,0.26,""
2017-07-01,Cuyo,Total,0.34,""
2017-07-01,Córdoba,1 y 2 estrellas,0.39,""
2017-07-01,Córdoba,3 estrellas/boutiques/aparts,0.37,""
2017-07-01,Córdoba,4 y 5 estrellas,0.49,""
2017-07-01,Córdoba,Para Hoteles,0.33,""
2017-07-01,Córdoba,Total,0.37,""
2017-07-01,Litoral,1 y 2 estrellas,0.29,""
2017-07-01,Litoral,3 estrellas/boutiques/aparts,0.43,""
2017-07-01,Litoral,4 y 5 estrellas,0.44,""
2017-07-01,Litoral,Para Hoteles,0.37,""
2017-07-01,Litoral,Total,0.39,""
2017-07-01,Norte,1 y 2 estrellas,0.4,""
2017-07-01,Norte,3 estrellas/boutiques/aparts,0.41,""
2017-07-01,Norte,4 y 5 estrellas,0.62,""
2017-07-01,Norte,Para Hoteles,0.36,""
2017-07-01,Norte,Total,0.42,""
2017-07-01,Patagonia,1 y 2 estrellas,0.58,""
2017-07-01,Patagonia,3 estrellas/boutiques/aparts,0.45,""
2017-07-01,Patagonia,4 y 5 estrellas,0.57,""
2017-07-01,Patagonia,Para Hoteles,0.35,""
2017-07-01,Patagonia,Total,0.47,""
2017-08-01,Buenos Aires,1 y 2 estrellas,0.14,""
2017-08-01,Buenos Aires,3 estrellas/boutiques/aparts,0.21,""
2017-08-01,Buenos Aires,4 y 5 estrellas,0.23,""
2017-08-01,Buenos Aires,Para Hoteles,0.15,""
2017-08-01,Buenos Aires,Total,0.18,""
2017-08-01,CABA,1 y 2 estrellas,0.39,""
2017-08-01,CABA,3 estrellas/boutiques/aparts,0.49,""
2017-08-01,CABA,4 y 5 estrellas,0.48,""
2017-08-01,CABA,Para Hoteles,0.34,""
2017-08-01,CABA,Total,0.45,""
2017-08-01,Cuyo,1 y 2 estrellas,0.16,""
2017-08-01,Cuyo,3 estrellas/boutiques/aparts,0.27,""
2017-08-01,Cuyo,4 y 5 estrellas,0.36,""
2017-08-01,Cuyo,Para Hoteles,0.16,""
2017-08-01,Cuyo,Total,0.24,""
2017-08-01,Córdoba,1 y 2 estrellas,0.26,""
2017-08-01,Córdoba,3 estrellas/boutiques/aparts,0.28,""
2017-08-01,Córdoba,4 y 5 estrellas,0.36,""
2017-08-01,Córdoba,Para Hoteles,0.17,""
2017-08-01,Córdoba,Total,0.24,""
2017-08-01,Litoral,1 y 2 estrellas,0.25,""
2017-08-01,Litoral,3 estrellas/boutiques/aparts,0.35,""
2017-08-01,Litoral,4 y 5 estrellas,0.39,""
2017-08-01,Litoral,Para Hoteles,0.25,""
2017-08-01,Litoral,Total,0.32,""
2017-08-01,Norte,1 y 2 estrellas,0.29,""
2017-08-01,Norte,3 estrellas/boutiques/aparts,0.31,""
2017-08-01,Norte,4 y 5 estrellas,0.5,""
2017-08-01,Norte,Para Hoteles,0.19,""
2017-08-01,Norte,Total,0.3,""
2017-08-01,Patagonia,1 y 2 estrellas,0.47,""
2017-08-01,Patagonia,3 estrellas/boutiques/aparts,0.4,""
2017-08-01,Patagonia,4 y 5 estrellas,0.49,""
2017-08-01,Patagonia,Para Hoteles,0.29,""
2017-08-01,Patagonia,Total,0.4,""
2017-09-01,Buenos Aires,1 y 2 estrellas,0.17,""
2017-09-01,Buenos Aires,3 estrellas/boutiques/aparts,0.22,""
2017-09-01,Buenos Aires,4 y 5 estrellas,0.26,""
2017-09-01,Buenos Aires,Para Hoteles,0.17,""
2017-09-01,Buenos Aires,Total,0.2,""
2017-09-01,CABA,1 y 2 estrellas,0.41,""
2017-09-01,CABA,3 estrellas/boutiques/aparts,0.51,""
2017-09-01,CABA,4 y 5 estrellas,0.53,""
2017-09-01,CABA,Para Hoteles,0.34,""
2017-09-01,CABA,Total,0.48,""
2017-09-01,Cuyo,1 y 2 estrellas,0.17,""
2017-09-01,Cuyo,3 estrellas/boutiques/aparts,0.29,""
2017-09-01,Cuyo,4 y 5 estrellas,0.44,""
2017-09-01,Cuyo,Para Hoteles,0.19,""
2017-09-01,Cuyo,Total,0.27,""
2017-09-01,Córdoba,1 y 2 estrellas,0.26,""
2017-09-01,Córdoba,3 estrellas/boutiques/aparts,0.3,""
2017-09-01,Córdoba,4 y 5 estrellas,0.44,""
2017-09-01,Córdoba,Para Hoteles,0.17,""
2017-09-01,Córdoba,Total,0.25,""
2017-09-01,Litoral,1 y 2 estrellas,0.27,""
2017-09-01,Litoral,3 estrellas/boutiques/aparts,0.36,""
2017-09-01,Litoral,4 y 5 estrellas,0.44,""
2017-09-01,Litoral,Para Hoteles,0.28,""
2017-09-01,Litoral,Total,0.35,""
2017-09-01,Norte,1 y 2 estrellas,0.29,""
2017-09-01,Norte,3 estrellas/boutiques/aparts,0.34,""
2017-09-01,Norte,4 y 5 estrellas,0.51,""
2017-09-01,Norte,Para Hoteles,0.21,""
2017-09-01,Norte,Total,0.31,""
2017-09-01,Patagonia,1 y 2 estrellas,0.57,""
2017-09-01,Patagonia,3 estrellas/boutiques/aparts,0.45,""
2017-09-01,Patagonia,4 y 5 estrellas,0.55,""
2017-09-01,Patagonia,Para Hoteles,0.25,""
2017-09-01,Patagonia,Total,0.44,""
2017-10-01,Buenos Aires,1 y 2 estrellas,0.26,""
2017-10-01,Buenos Aires,3 estrellas/boutiques/aparts,0.31,""
2017-10-01,Buenos Aires,4 y 5 estrellas,0.32,""
2017-10-01,Buenos Aires,Para Hoteles,0.22,""
2017-10-01,Buenos Aires,Total,0.27,""
2017-10-01,CABA,1 y 2 estrellas,0.4,""
2017-10-01,CABA,3 estrellas/boutiques/aparts,0.53,""
2017-10-01,CABA,4 y 5 estrellas,0.57,""
2017-10-01,CABA,Para Hoteles,0.37,""
2017-10-01,CABA,Total,0.5,""
2017-10-01,Cuyo,1 y 2 estrellas,0.19,""
2017-10-01,Cuyo,3 estrellas/boutiques/aparts,0.32,""
2017-10-01,Cuyo,4 y 5 estrellas,0.43,""
2017-10-01,Cuyo,Para Hoteles,0.19,""
2017-10-01,Cuyo,Total,0.28,""
