periodo;rama_sector;fbkf_$2004
2004;514. Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios; 313 
2004;515. Venta al por mayor de máquinas, equipo y materiales conexos; 257 
2004;519. Venta al por mayor de mercancías n.c.p.;-81 
2004;521. Venta al por menor excepto la especializada;-157 
2004;522. Venta al por menor de productos alimentarios, bebidas y tabaco en comercios especializados; 25 
2004;523. Venta al por menor de productos n.c.p. excepto los usados, en comercios especializados; 353 
2004;524. Venta al por menor de artículos usados excluidos automotores y motocicletas; 4 
2004;525. Venta al por menor no realizada en establecimientos; 0 
2004;526. Reparación de efectos personales y enseres domésticos; 8 
2004;H - Servicios de hotelería y restaurantes; 636 
2004;551. Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal; 539 
2004;552. Servicios de expendio de comidas y bebidas; 91 
2004;I - Servicios de transporte, de almacenamiento y de comunicaciones; 2.110 
2004;601. Servicio de transporte ferroviario; 460 
2004;602. Servicio de transporte automotor; 1.036 
2004;603. Servicio de transporte por tuberías;-1.435 
2004;611. Servicio de transporte marítimo;-12 
2004;612. Servicio de transporte fluvial; 80 
2004;621. Servicio de transporte aéreo de cargas;-74 
2004;622. Servicio de transporte aéreo de pasajeros; 164 
2004;631. Servicios de manipulación de carga; 4 
2004;632. Servicios de almacenamiento y depósito; 188 
2004;633. Servicios complementarios para el transporte; 294 
2004;634. Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico; 77 
2004;635. Servicios de gestión y logística para el transporte de mercaderías; 37 
2004;641. Servicios de correos; 10 
2004;642. Servicios de telecomunicaciones; 1.456 
2004;J - Intermediación financiera y otros servicios financieros; 1.124 
2004;651. Intermediación monetaria y financiera de la banca central; 83 
2004;652. Intermediación monetaria y financiera de las entidades financieras bancarias y no bancarias; 332 
2004;659. Servicios financieros excepto los de la banca central y las entidades financieras; 131 
2004;661. Servicios de seguros; 465 
2004;662. Servicios de administración de fondos de jubilaciones y pensiones;-5 
2004;671. Servicios auxiliares a la actividad financiera, excepto a los servicios de seguros y de administración de fondos de jubilaciones y pensiones; 103 
2004;672. Servicios auxiliares a los servicios de seguros y de administración de fondos de jubilaciones y pensiones; 55 
2004;K - Servicios inmobiliarios, empresariales y de alquiler; 2.686 
2004;701. Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados; 1.517 
2004;702. Servicios inmobiliarios realizados a cambio de una retribución o por contrata; 271 
2004;711. Alquiler de equipo de transporte; 40 
2004;712. Alquiler de maquinaria y equipo n.c.p.;-21 
2004;713. Alquiler de efectos personales y enseres domésticos n.c.p.; 30 
2004;721. Servicios de consultores en equipo de informática;-0 
2004;722. Servicios de consultores en informática y suministros de programas de informática; 24 
2004;723. Procesamiento de datos; 31 
2004;724. Servicios relacionados con bases de datos; 9 
2004;725. Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática; 7 
2004;729. Actividades de informática n.c.p.; 32 
2004;731. Investigación y desarrollo experimental en el campo de la ingeniería y de las ciencias exactas y naturales; 39 
2004;732. Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades; 13 
