periodo;molienda_cereales_y_oleaginosas;resto_de_alimentos;bebidas;tabaco;textil_indumentaria_y_cuero;madera_papel_y_edicion;refinacion_de_petroleo;quimicos;caucho_y_plastico;minerales_no_metalicos;metales_basicos;metalmecanica;automotriz;resto_de_industria;total_industria
1/11/2012;9.679.770.399.999.990;144.127.192;5.235.550.100.000.000;2595,6;8.292.534.400.000.000;117.595.152;5.810.243.400.000.000;207.503.346;9.264.347.500.000.000;164.918.248;304.459.099;24.136.721;4.603.542.700.000.000;1.093.875;1.395.289.118
1/12/2012;9.009.850.300.000.000;134.378.464;5.634.840.900.000.000;2641,4;6.672.494.599.999.990;113.200.672;5.824.121.200.000.000;2.113.630.390.000.000;8.369.624.699.999.990;166840,49;2.584.116.240.000.000;2.103.151.300.000.000;40.281.748;1.002.067;1.304.260.334
1/1/2013;89465,13;1.426.284.599.999.990;55.922.112;3158,1;6.776.045.700.000.000;111.123.528;58.676.899;2.003.608.230.000.000;8.491.854.599.999.990;1.567.763.620.000.000;229.062.624;19.723.576;3.326.872.800.000.000;1.025.487;1.253.870.832
1/2/2013;8.005.158.499.999.990;135.007.429;5.082.873.799.999.990;3137,8;67.135.958;106711,9;5.476.176.699.999.990;1.949.379.570.000.000;7.758.821.999.999.990;152.354.126;236.981.295;2.010.582.000.000.000;4.041.013.700.000.000;943.888;1220956,62
1/3/2013;9.146.767.600.000.000;143.590.485;5.351.282.399.999.990;3675,5;7.850.144.499.999.990;113519,99;5.958.635.599.999.990;2.121.936.569.999.990;8.727.342.499.999.990;1.704.490.979.999.990;3.020.020.219.999.990;23.504.014;4.521.431.400.000.000;846.191;1.385.336.997
1/4/2013;112.427.172;1.471.596.010.000.000;4.388.717.799.999.990;3434,2;7.981.098.199.999.990;109.581.961;63.726.541;2.038.678.020.000.000;8.718.894.800.000.000;1.655.707.640.000.000;2.800.397.899.999.990;23.654.283;4.392.537.299.999.990;8.491.290.000.000.000;1.365.123.724
1/5/2013;120776,12;1.501.182.969.999.990;4.351.092.500.000.000;3.492.900.000.000.000;8.125.383.999.999.990;115.863.156;6.696.647.000.000.000;215.313.543;9.031.469.699.999.990;175925,34;2.928.504.390.000.000;2.487.873.700.000.000;46.998.987;9.034.619.999.999.990;1.429.166.913
1/6/2013;125.447.795;138.919.075;3.801.618.300.000.000;2362,9;7.844.054.999.999.990;1.137.532.810.000.000;6.867.619.400.000.000;1.937.775.770.000.000;8.362.268.399.999.990;1.684.915.700.000.000;2.610.617.399.999.990;22.485.677;43.162.094;9.410.820.000.000.000;1.339.158.402
1/7/2013;113.581.265;143.947.589;4.281.959.600.000.000;2472,3;8.126.847.499.999.990;110.193.586;69.955.985;173.561.828;8.796.218.199.999.990;1.618.719.940.000.000;2.743.468.970.000.000;24.479.464;4.569.926.799.999.990;1.092.169;1.333.252.598
1/8/2013;113.600.506;145.726.941;43.916.785;2550,2;8.243.886.799.999.990;117212,19;6.857.215.400.000.000;1.927.710.980.000.000;9.000.961.599.999.990;175.089.745;291.836.847;2.451.590.200.000.000;4.604.633.800.000.000;1.136.608;1.395.423.798
1/9/2013;1.088.938.599.999.990;1.387.282.220.000.000;4.697.282.100.000.000;2367,6;8.246.367.600.000.000;118.863.249;6.652.345.799.999.990;2.023.102.130.000.000;89.641.961;180.620.089;3.030.043.580.000.000;23.665.614;4.553.274.100.000.000;1.114.396;1.410.702.258
1/10/2013;9.189.350.099.999.990;1.442.415.599.999.990;5.128.553.900.000.000;2633,3;8.416.839.900.000.000;124.398.595;65.367.035;2.159.051.310.000.000;91.008.291;182.872.199;326.415.488;23.702.475;46.046.698;1.119.859;1451058,07
1/11/2013;8.300.783.600.000.000;142.696.673;5.327.687.500.000.000;2582,6;8.361.267.400.000.000;119.667.487;6.772.370.200.000.000;2.108.890.859.999.990;9.098.964.799.999.990;179.301.524;320.544.917;23619,29;4.411.197.000.000.000;1.164.135;1.423.188.417
1/12/2013;7.703.060.599.999.990;1.409.036.969.999.990;5.687.071.399.999.990;2856,8;7.357.865.999.999.990;114.347.576;7.063.493.299.999.990;219.705.207;8.374.871.800.000.000;175.030.714;281884,19;21.607.289;3.888.414.500.000.000;1.115.147;1.358.198.396
1/1/2014;8.797.272.100.000.000;1.419.388.470.000.000;59583,45;3162,5;6.582.085.800.000.000;115.866.553;7.102.899.200.000.000;2.218.719.950.000.000;8.366.655.999.999.990;1.550.941.829.999.990;232.484.003;20.491.265;3.033.235.600.000.000;1.173.128;1.290.487.411
1/2/2014;8.790.195.499.999.990;1.397.382.959.999.990;5.445.472.600.000.000;3108,5;7.345.907.499.999.990;109.364.752;5.915.352.099.999.990;201.382.279;7.758.624.299.999.990;1.472.514.599.999.990;247.904.475;2.004.206.200.000.000;40.158.923;1.102.591;1.262.608.858
1/3/2014;9.818.829.500.000.000;1.398.145.139.999.990;4.944.696.000.000.000;3355,6;7.770.394.500.000.000;116.376.367;6.301.533.100.000.000;2.099.718.550.000.000;8.189.265.700.000.000;166.407.839;2.926.498.780.000.000;21.971.142;3.832.950.999.999.990;812.938;1.359.936.831.000.000
1/4/2014;111.592.792;139501,08;4.564.960.100.000.000;3461;7.716.701.599.999.990;106.063.004;6.383.561.300.000.000;2.071.353.180.000.000;8.321.890.200.000.000;1.716.699.539.999.990;3.072.156.120.000.000;22.465.569;3.787.324.600.000.000;9.420.969.999.999.990;1.377.790.804
1/5/2014;122.119.995;141.161.675;4.377.070.699.999.990;3.375.400.000.000.000;76682,28;108.413.244;7.005.137.000.000.000;2.173.723.040.000.000;8.396.200.799.999.990;176.012.372;323.127.749;22.806.486;3.520.620.900.000.000;955.898;1.425.017.697
1/6/2014;119.538.321;1.365.976.849.999.990;3.841.135.499.999.990;3154,9;7.641.623.300.000.000;108.357.778;64.039.404;2.040.170.580.000.000;8.322.064.999.999.990;166.044.269;3.359.929.019.999.990;22.654.672;3.630.330.699.999.990;1.072.099;1.395.820.633
1/7/2014;113.289.975;1.463.351.690.000.000;42673,49;2943,6;7.679.644.499.999.990;114.204.246;7.088.016.999.999.990;194.880.467;8.146.650.900.000.000;161752,61;3.241.209.209.999.990;22.726.088;36.114.995;1.082.588;1.389.267.273
1/8/2014;110.081.422;1.431.901.030.000.000;4.523.326.499.999.990;2288,5;7.765.167.600.000.000;113.198.696;7.242.157.399.999.990;1.965.521.079.999.990;8.166.539.100.000.000;167.192.241;295.403.176;21.879.151;3.533.936.099.999.990;1.073.542;1.363.170.206
